City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
284,Kiunga,PG,70.65,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
285,Vila Velha,BR,71.55,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
286,Taloqan,AF,82.74,clear sky,36.7361,69.5345,Saraisang street
289,Pemangkat,ID,78.91,few clouds,1.1667,108.9667,Ramah Kost KITA
291,Basco,PH,83.26,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
292,Talara,PE,72.36,scattered clouds,-4.5772,-81.2719,Hostal Oro Negro
294,Cap Malheureux,MU,70.29,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
297,Awbari,LY,84.58,clear sky,26.5921,12.7805,فندق أوباري
299,Port Alberni,CA,85.87,clear sky,49.2413,-124.8028,Somass Motel & RV
301,Puerto Leguizamo,CO,72.91,overcast clouds,-0.1934,-74.7819,la casona de juancho
302,Daru,PG,76.77,moderate rain,-9.0763,143.2092,Daru Lodge
304,Lumut,MY,78.82,scattered clouds,4.2323,100.6298,"Marina Island Pangkor Resort & Hotel (Suites, Function Rooms and Convention Hall)"
305,Tripoli,LY,81.52,clear sky,32.8752,13.1875,Hotel Al-Safwa
306,Garowe,SO,78.1,broken clouds,8.4054,48.4845,Curubo Hotel
307,Bonthe,SL,76.3,light rain,7.5264,-12.505,Bonthe Holiday Village
310,Victoria,HK,83.32,overcast clouds,22.2855,114.1577,Mini Hotel Central
311,Hami,CN,85.96,clear sky,42.8,93.45,Laoyutang Resort
313,Phan Thiet,VN,78.33,overcast clouds,10.9333,108.1,Hotel Saigon-PT
314,Kloulklubed,PW,82.4,moderate rain,7.0419,134.2556,Storyboard Beach Resort
315,Carauari,BR,88.66,scattered clouds,-4.8828,-66.8958,Hotel Fellip
319,Yenagoa,NG,73.13,scattered clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
320,Resistencia,AR,86.05,clear sky,-27.4606,-58.9839,Niyat Urban Hotel
323,Guaira,BR,73.74,clear sky,-20.3183,-48.3106,Hotel do Lago
324,Tiarei,PF,80.01,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
329,Pacific Grove,US,89.46,clear sky,36.6177,-121.9166,Lovers Point Inn
330,Inirida,CO,77.23,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
331,Shimoda,JP,77.11,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
332,Meulaboh,ID,76.32,overcast clouds,4.1363,96.1285,Kost Pria
334,Lorengau,PG,81.21,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
337,Puerto Del Rosario,ES,73.15,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
339,Salalah,OM,78.89,haze,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
340,Poum,NC,71.91,clear sky,-20.2333,164.0167,Gîte kajeon
341,Mangrol,IN,81.88,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
343,Rafraf,TN,84.51,clear sky,37.1904,10.1837,Les Jardins de la Mer Ghar el Melh
345,Alanya,TR,88.48,few clouds,36.5438,31.9998,Panorama Hotel
347,Porto Novo,BJ,78.62,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
349,Amahai,ID,75.79,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
352,Tagusao,PH,81.54,overcast clouds,9.1924,117.8141,Toledo
