City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
193,Sur,OM,22.5667,59.5289,89.22,61,71,10.45,broken clouds
194,Riviere-Au-Renard,CA,48.9957,-64.3971,71.89,71,7,10.27,clear sky
195,Torbay,CA,47.6666,-52.7314,66.97,72,75,13.8,broken clouds
196,Dabakala,CI,8.3667,-4.4333,73.74,81,88,4.41,overcast clouds
197,San Cristobal,VE,7.7669,-72.225,82.58,69,100,4.92,overcast clouds
198,Aktash,RU,50.3,87.7333,49.48,88,93,2.04,overcast clouds
199,Baykit,RU,61.67,96.37,62.64,78,6,1.95,clear sky
200,Arman,RU,59.7,150.1667,55.51,97,100,5.59,overcast clouds
201,Port Blair,IN,11.6667,92.75,81.95,84,100,20.04,heavy intensity rain
202,Lata,PT,40.1629,-8.3327,67.05,94,45,2.33,scattered clouds
203,Lebu,CL,-37.6167,-73.65,51.93,77,99,15.82,light rain
204,Yangjiang,CN,21.85,111.9667,79.05,88,51,3.71,broken clouds
205,Sayville,US,40.7359,-73.0821,81.84,63,40,4.0,scattered clouds
206,Itarema,BR,-2.9248,-39.9167,78.85,73,29,15.68,scattered clouds
207,Axim,GH,4.8699,-2.2405,74.98,81,26,5.86,scattered clouds
208,Verkhneuralsk,RU,53.8769,59.2106,59.2,78,40,2.77,scattered clouds
209,Pudozh,RU,61.8099,36.5345,59.23,58,100,8.19,overcast clouds
210,Jaguarao,BR,-32.5661,-53.3758,62.94,70,38,7.25,scattered clouds
211,Cayenne,GF,4.9333,-52.3333,83.08,77,0,3.0,clear sky
212,Lagos De Moreno,MX,21.35,-101.9167,79.29,47,99,3.15,light rain
213,Safakulevo,RU,54.9901,62.5442,59.47,76,100,8.46,overcast clouds
214,Lagoa,PT,39.05,-27.9833,70.54,91,63,14.65,broken clouds
215,Fortuna,US,40.5982,-124.1573,71.85,70,1,14.97,clear sky
216,Tarauaca,BR,-8.1614,-70.7656,92.89,33,1,0.87,clear sky
217,Trincomalee,LK,8.5711,81.2335,81.5,74,100,22.55,overcast clouds
218,Zyryanskoye,RU,56.8306,86.6258,63.43,81,92,3.69,overcast clouds
219,Malanville,BJ,11.8685,3.3899,78.94,69,51,7.87,broken clouds
220,Asau,RO,46.4333,26.4,65.75,92,9,3.31,clear sky
221,Richards Bay,ZA,-28.783,32.0377,54.7,77,21,3.91,light rain
